otu	otu_total	otu_fraction_of_total	otu_fraction_cumulative	10n	10p	11n	11p	120n	120p	121n	121p	122n	122p	125n	125p	126n	126p	127n	13n	13p	140n	140p	141n	141p	142n	142p	155n	155p	156n	156p	157n	157p	15n	15p	165n	165p	166n	166p	167n	167p	1n	1p	2n	2p	3n	3p	5n	5p	7n	7p	9n	9p	tri01n	tri01p	tri02n	tri02p	tri03n	tri03p	Mothur_Taxo1	Mothur_Taxo2	Mothur_Taxo3	Mothur_Taxo4	Mothur_Taxo5	Mothur_Taxo6	Mothur_Taxo7	Mothur_Taxo8	Final_Taxo1	Final_Taxo2	Final_Taxo3	Final_Taxo4	Final_Taxo5	Final_Taxo6	Final_Taxo7	Final_Taxo8	BLAST_best_identity	BLAST_best_Accession	BLAST_best_Organism	BLAST_best_Description
Otu011	66030	0.02242	0.56697	0	3	2	2	0	13	5	5	4	7	3081	11	4	6804	0	3	11	0	5	0	9	0	4	1	0	0	8	0	10	3	48298	0	1	0	0	0	5	0	8	0	15	0	0	0	0	0	0	1	7696	0	8	0	0	3	0	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Clade-C	Clade-C_X	Clade-C_X_sp.	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade_C	Chrysophyceae_Clade_C_X		1.000	KT893827	Spumella sp. GW3	Spumella sp. GW3 18S ribosomal RNA gene, partial sequence
Otu012	60498	0.02055	0.58752	0	0	0	6	0	0	0	16	3	0	0	0	0	0	0	17	0	6	0	0	0	0	0	0	7	22847	4	0	6	0	0	9	10	8	37498	8	0	15	0	0	0	0	0	0	22	8	0	0	0	0	0	0	0	0	8	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Gonyaulax	Gonyaulax_polygramma	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Gonyaulax	Gonyaulax_polygramma	1.000	EU792964	uncultured dinoflagellate	Uncultured dinoflagellate clone PROSOPE.C3-5m.55 18S ribosomal RNA gene, partial sequence
Otu013	52505	0.01783	0.60535	6321	2471	2	0	12	3	0	0	4	20272	0	15	9	0	5	0	11	0	14	0	5	4	1	0	0	1	15	1	8	0	7	2	0	0	0	2	15	4960	22	0	13823	8	3576	0	0	2	12	893	4	0	0	4	1	0	0	Eukaryota	Alveolata	Dinophyta	Syndiniales	Dino-Group-III	Dino-Group-III_X	Dino-Group-III_XX	Dino-Group-III_XX_sp._strain2	Eukaryota	Alveolata	Dinophyta	Syndiniales	Syndiniales_Group_III	Syndiniales_Group_III_X	Syndiniales_Group_III_X		1.000	EF695202	uncultured eukaryote	Uncultured eukaryote isolate hotp1g4 18S ribosomal RNA gene, partial sequence
Otu014	47176	0.01602	0.62137	0	82	4	3304	1	1667	4	9233	13	3	0	2707	0	0	3	4806	9	3	5	0	2	0	0	2	4	2	2	0	6	1	6	0	2922	2999	7	9	16669	4	7	0	4	0	0	4	8	2637	0	1	5	5	5	6	5	2	8	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Clade-G	Clade-G_X	Clade-G_X_sp.	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade_G	Chrysophyceae_Clade_G_X		1.000	JX291679	uncultured eukaryote	Uncultured eukaryote clone 7656BH1002_SP6 18S ribosomal RNA gene, partial sequence
Otu015	46716	0.01587	0.63723	0	12	0	3	7	25	1	6	10	0	4	2772	1	3	0	2	0	10	13	8052	7	23	28084	15	19	0	0	0	1	6439	6	0	4	0	0	0	0	0	0	5	4	0	20	0	0	3	0	1155	5	4	1	0	0	0	0	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XX_unclassified		Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Dinophyceae_X		0.992	EU500117	uncultured eukaryote	Uncultured eukaryote clone hotxp1f10 18S ribosomal RNA gene, partial sequence
Otu016	44432	0.01509	0.65232	1	0	0	9	5	0	0	14	0	0	0	0	2654	0	0	6	1	1	0	0	0	1	0	0	9	3220	0	0	1	1944	4	0	1	0	3735	8	5	2	0	0	0	2	0	0	12	1	0	325	0	2	4	10	5	7	32443	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_XX	Pterocystida_XX_sp.	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_X		1.000	AY749516	uncultured eukaryote	Uncultured eukaryote clone H30.5 18S ribosomal RNA gene, partial sequence
Otu017	35482	0.01205	0.66437	0	0	0	0	0	0	0	0	17	8	0	0	0	0	0	17	24	48	35210	4	4	7	3	7	11	13	15	0	0	0	0	0	0	0	0	14	12	16	27	0	0	0	0	0	0	10	15	0	0	0	0	0	0	0	0	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Hyphodontia	Hyphodontia_sp._strain1	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Hyphodontia		0.997	HQ427475	uncultured eukaryote	Uncultured eukaryote clone RU12192007A8 18S ribosomal RNA gene, partial sequence
Otu018	32238	0.01095	0.67532	1	0	9	911	0	0	15	2702	6	4	342	2217	606	0	13	3846	4	6	8513	1	2	5	3	21	9839	1	977	0	1	1	4	4	0	6	9	1	5	0	13	1	0	0	0	18	4	2104	7	1	0	0	1	1	0	13	0	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Pedinellales_X	Pedinellales_X_sp.	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Pedinellales_X		1.000	JX291680	uncultured eukaryote	Uncultured eukaryote clone 7656BH1003_SP6 18S ribosomal RNA gene, partial sequence
Otu019	32173	0.01093	0.68625	0	0	13	0	0	0	29	0	0	0	0	0	0	0	11	0	0	5	4	0	0	2	3	32076	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	7	0	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Itersonilia	Itersonilia_perplexans	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Itersonilia	Itersonilia_perplexans	1.000	AB072227	Itersonilia pannonica	Udeniomyces pannonicus gene for 18S rRNA, partial sequence
Otu020	30200	0.01026	0.69651	425	0	1	0	1706	0	8447	1	0	0	0	0	0	26	0	0	3490	0	2620	0	0	0	0	0	0	973	0	0	1631	0	3106	292	0	5	599	0	1	0	2028	0	0	1	1	957	0	1	1267	0	431	0	2191	0	0	0	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae	Braarudosphaeraceae	Braarudosphaera	Braarudosphaera_bigelowii	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae_X	Braarudosphaeraceae	Braarudosphaera	Braarudosphaera_bigelowii	1.000	AB250784	Braarudosphaera bigelowii	Braarudosphaera bigelowii gene for 18S rRNA, partial sequence, isolate: TP05-6-a
Otu021	29992	0.01019	0.70669	0	4	0	0	0	10	0	0	0	0	2	0	0	4	0	0	0	0	0	4	0	0	8	0	0	0	0	2	0	9	0	0	12	0	0	0	0	5	4	6695	0	9	23193	6	12	0	0	3	0	1	0	0	9	0	0	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX		Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Dinophyceae_X		1.000	KP270553	uncultured eukaryote	Uncultured eukaryote clone 290-044 18S ribosomal RNA gene, partial sequence
Otu022	29363	0.00997	0.71666	0	0	0	4987	0	0	0	6	90	1	1	524	0	467	0	4	8	6198	0	1	3	0	2	0	6	0	1531	0	1178	0	0	449	1	2	1114	12703	0	5	3	11	3	0	31	0	2	6	4	0	0	0	5	0	4	5	8	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae_unclassified	Prymnesiophyceae_unclassified	Prymnesiophyceae_unclassified		Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae_X	Prymnesiophyceae_X	Syracosphaera	Syracosphaera_pulchra	1.000	AM490987	Syracosphaera pulchra	Syracosphaera pulchra partial 18S rRNA gene, strain ALGO GK 17
Otu023	29297	0.00995	0.72661	4	0	1	0	0	3	0	0	0	0	0	0	3351	3	0	3910	1	2	3	0	2682	4	4	0	1	1053	3960	230	7	0	4	5	10007	4	2	3	1582	1	0	0	3	3	7	0	0	2053	0	0	0	0	1	2	0	2	399	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Raphid-pennate_unclassified		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_X	Bacillariophyceae_X		1.000	KU743708	uncultured stramenopile	Uncultured stramenopile clone 10B3D21 small subunit ribosomal RNA gene, partial sequence
Otu024	28102	0.00954	0.73616	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	2	1	0	28004	0	4	6	0	0	0	0	12	0	24	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	8	0	9	0	0	0	0	Eukaryota	Archaeplastida	Streptophyta	Klebsormidiophyceae	Klebsormidiophyceae_X	Klebsormidiophyceae_XX	Klebsormidium		Eukaryota	Archaeplastida	Streptophyta	Klebsormidiophyceae	Klebsormidiophyceae_X	Klebsormidiophyceae_XX	Klebsormidium		1.000	EF372518	Klebsormidium dissectum	Klebsormidium dissectum strain SAG 2155 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence
Otu025	27592	0.00937	0.74553	69	0	0	0	290	0	0	0	21	0	118	2	9	513	2	0	0	2	0	0	5182	10962	0	8	1	0	0	0	1397	0	6	1757	0	0	0	0	0	174	0	0	6	15	0	0	583	0	0	0	0	0	0	3	0	6472	0	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_Clade-A.ABC.1-2	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_commoda	0.997	CP001575	Micromonas commoda	Micromonas sp. RCC299 chromosome 8, complete sequence
Otu026	27168	0.00923	0.75475	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	6	0	0	5	5612	0	2	0	5	0	8	0	0	0	2	0	0	192	7767	2	13547	3	5	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cylindrotheca	Cylindrotheca_closterium	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_X	Cylindrotheca	Cylindrotheca_closterium	1.000	AY866417	Cylindrotheca closterium	Cylindrotheca closterium strain MGB0401 18S ribosomal RNA gene, partial sequence
Otu027	26619	0.00904	0.76380	6	2304	0	0	5	0	0	0	57	4	0	14529	9597	2	6	0	0	0	0	0	12	7	0	0	0	0	0	0	8	0	24	3	0	0	0	0	0	0	0	0	15	12	2	0	0	0	1	0	7	0	12	6	0	0	0	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Suessiales	Suessiales_X	Karlodinium	Karlodinium_sp.	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Suessiales	Suessiales_X	Karlodinium		0.989	AB827455	uncultured dinoflagellate	Uncultured dinoflagellate gene for 18S rRNA, partial sequence, clone: HP18D-12
Otu028	24686	0.00838	0.77218	19	467	0	363	79	0	1	816	1	0	190	0	10	1	0	140	0	0	0	0	1	13	1040	0	0	2	1449	422	1	0	9	12	3568	19	4	2832	0	549	3	290	0	9	3633	1	1464	91	1	0	2242	0	13	4924	0	2	5	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Isochrysidales	Noelaerhabdaceae	Noelaerhabdaceae_unclassified		Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	0.997	XM_005765611	Emiliania huxleyi CCMP1516	Emiliania huxleyi CCMP1516 hypothetical protein mRNA
Otu029	24276	0.00824	0.78042	0	1271	0	1	0	0	1794	1	1762	929	923	0	764	1	5	2	24	10	13	8017	7	5	1595	7	5	1	2	2	0	2	0	1547	0	0	2	0	5554	1	1	4	0	2	0	0	0	1	12	0	0	3	0	2	0	1	3	Eukaryota	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetales	Debaryomyces	Debaryomyces_hansenii	Eukaryota	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetales	Debaryomyces		0.997	HG738964	Aspergillus sp. A1bC-4	Aspergillus sp. A1bC-4 partial 18S rRNA gene, isolate A1bC-4
Otu030	23299	0.00791	0.78834	0	5	0	0	0	4	0	0	155	0	1	0	0	5	0	0	0	0	0	1	0	0	5	0	0	1	3	2910	0	0	0	5	15001	4	10	0	0	5	1	2755	2	1	2418	1	2	0	0	0	0	0	0	0	4	0	0	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Cryptomonadales	Teleaulax	Teleaulax_sp.	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Cryptomonadales	Teleaulax		1.000	KT815862	uncultured eukaryote	Uncultured eukaryote clone 44c_22195 18S ribosomal RNA gene, partial sequence
Otu031	22096	0.00750	0.79584	5	3945	0	0	0	0	0	7	2297	0	0	0	0	0	0	0	4012	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	6	0	0	5	1	1	1	0	5	1	10578	1	1223	0	0	0	0	0	0	0	0	Eukaryota	Alveolata	Dinophyta	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1_X	Dino-Group-I-Clade-1_X_sp._strain2	Eukaryota	Alveolata	Dinophyta	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I_Clade_1	Syndiniales_Group_I_Clade_1_X		1.000	GU819884	uncultured dinoflagellate	Uncultured dinoflagellate clone AI5F13RJ3F03 18S ribosomal RNA gene, partial sequence
Otu032	20607	0.00700	0.80284	0	8	10	0	0	16	19	5	0	3	0	4	676	21	17450	0	0	0	0	0	1	1	17	16	0	9	0	0	2261	0	0	0	7	15	2	0	0	0	0	0	5	0	21	22	0	0	0	0	0	0	0	0	8	7	3	Eukaryota	Archaeplastida	Chlorophyta	Prasino-Clade-VII	Prasino-Clade-VII_X	Prasino-Clade-VII-A	Prasino-Clade-VII-A-4	Prasino-Clade-VII-A-4_sp.	Eukaryota	Archaeplastida	Chlorophyta	Prasino_Clade_VII	Prasino_Clade_VII_X	Prasino_Clade_VII_A	Prasino_Clade_VII_A_4_X		0.997	KF615770	Prasinophyceae sp. CCMP1998	Prasinophyceae sp. CCMP1998 18S ribosomal RNA gene, partial sequence
Otu033	20430	0.00694	0.80978	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	1	20397	3	4	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Ulva		Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales_relatives	Ulvales_relatives_X	Ulva		0.992	AB425964	Ulva fasciata	Ulva fasciata gene for 18S ribosomal RNA, partial sequence, isolate: #1
Otu034	20273	0.00689	0.81666	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	12	13	20157	10	4	0	14	11	12	14	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XX_unclassified		Eukaryota	Alveolata	Dinophyta	Dinophyceae	Dinophyceae_X	Dinophyceae_X	Dinophyceae_X		0.992	FJ914420	uncultured marine dinoflagellate	Uncultured marine dinoflagellate clone B19 18S ribosomal RNA gene, partial sequence
Otu035	19931	0.00677	0.82343	4	0	0	1	0	0	7	0	2	4	2499	1	4357	1	12	1231	0	0	0	0	0	1	0	6	0	2	902	1	0	2	0	1	0	3	0	0	5	3	1	5	0	0	0	7464	0	710	0	0	1	2696	4	5	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Clade-G	Clade-G_X	Clade-G_X_sp.	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade_G	Chrysophyceae_Clade_G_X		1.000	JX291795	uncultured eukaryote	Uncultured eukaryote clone 7656BH979_SP6 18S ribosomal RNA gene, partial sequence
Otu036	19019	0.00646	0.82989	6	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	18980	3	0	0	0	0	0	0	0	0	7	0	0	0	Eukaryota	Hacrobia	Haptophyta	Clade_HAP2	Clade_HAP2	Clade_HAP2	Clade_HAP2	Clade_HAP2	Eukaryota	Hacrobia	Haptophyta	Haptophyta_HAP2	Haptophyta_HAP2	Haptophyta_HAP2	Haptophyta_HAP2_X		0.997	GU824821	uncultured eukaryote	Uncultured eukaryote clone BCA5F15RM3F05 18S ribosomal RNA gene, partial sequence
Otu037	18550	0.00630	0.83619	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1111	4	4	35	2	17372	0	0	0	0	0	0	0	0	0	0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pseudo-nitzschia		Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Bacillariophyceae_X	Pseudo_nitzschia		0.982	KP709005	Pseudo-nitzschia sabit	Pseudo-nitzschia sabit voucher PnPd82 18S ribosomal RNA gene, partial sequence
Otu038	16274	0.00553	0.84172	0	0	0	552	0	2	0	1518	3	0	0	0	654	877	1	6512	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	7	0	1	0	0	2	0	2	3637	0	0	0	2491	1	4	3	2	0	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae-Synurophyceae	Chrysophyceae-Synurophyceae_X	Clade-G	Clade-G_X	Clade-G_X_sp.	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade_G	Chrysophyceae_Clade_G_X		1.000	KJ759278	uncultured eukaryote	Uncultured eukaryote clone SGYO1048 18S ribosomal RNA gene, partial sequence
Otu039	15821	0.00537	0.84709	163	0	0	0	516	0	229	2	4	0	0	0	0	0	0	7	2262	10132	0	0	0	0	0	0	0	0	1	1	1195	0	47	0	5	0	354	7	0	0	0	0	0	0	6	0	0	3	883	0	4	0	0	0	0	0	0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae_unclassified	Prymnesiophyceae_unclassified	Prymnesiophyceae_unclassified		Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophyceae_X	Prymnesiophyceae_X	Algirosphaera	Algirosphaera_robusta	1.000	AM490985	Algirosphaera robusta	Algirosphaera robusta partial 18S rRNA gene, strain ALGO Am 24
